idx,context,true_label,pred_label,correct,confidence,hand_scored
319,"[seeker] Well, I have to set boundaries, because working till 11pm most nights is not sustainable. and who on earth is going to view, let alone sign a contract at 12am [supporter] I think that would be the first step. Determine how many hours you feel you COULD work. Then advise them that is what you will do. Find out what kind of timelines there are, and if you can't do it, don't go beyond your boundaries. It is obviously destroying your life. It really isn't healthy for you.",Reflection of feelings,Question,False,0.269924134016037,False
1177,[seeker] my friend stood me up and i went alone on a trip she was to go with me. I eneded up flipping all the cost and she is bad mouthing me she stood me up because she was drunk she has a drinking problem [seeker] not good [seeker] since i told her that drinking is more important to her now she is talking bad about me but she is the one with the problem.,Reflection of feelings,Restatement or Paraphrasing,False,0.4932570159435272,False
1703,"[seeker] ok understood. Have you had any depression issues during lockdown ? [supporter] Once again I a, sorry to hear that you are depressed. Make sure to go ouside everyday. I have learned that healthy doses of sunshine help.
Yes I have often felt helpless due this pandemic.",Reflection of feelings,Self-disclosure,False,0.5791786313056946,False
1542,"[seeker] A few weeks ago, my lover and I decided to stop our affair. It is the right choice for him because he feels he should work on his marriage. I admire that, yet It is very lonely for me right now",Reflection of feelings,Reflection of feelings,True,0.3013273775577545,False
726,"[seeker] Okay, I hear you. Thanks. Yeah, I guess I have to really force myself. [supporter] Force yourself at first, then the ""body in motion, stays in motion"" law will take over. :)",Reflection of feelings,Information,False,0.2818167507648468,False
400,"[seeker] No, althought I prefer those than help lines.",Restatement or Paraphrasing,Others,False,0.19424860179424286,False
384,[seeker] You are saying that I have perhaps missinterpreted the whole situation?,Restatement or Paraphrasing,Reflection of feelings,False,0.2279876321554184,False
1673,[seeker] They told me she's  gold digger.  Yes i come from money but hey this girl is the one.,Restatement or Paraphrasing,Information,False,0.2623240649700165,False
1489,"[seeker] Yeah, we text and have group chats and stuff, and we snapchat a lot. It's been a while since I saw any of them, though. At least we have that, though. [seeker] And yeah, it's really stressful worrying about her. And she feels so bad because I can't see my friends or go in the store or to school [supporter] It sounds like you don't think the online interactions are a good substitute for in-person things. Does that sound right?",Restatement or Paraphrasing,Question,False,0.39263781905174255,False
566,[seeker] I have been struggling for motivation to do anything the past couple weeks.  This is a really hard time of year for me.  I lost my cousin in a car accident at the age of 14 in a car accident coming up on 20 years this year.  We were very close.  I was 17 at the time.  Her was an alcoholic and my parents raised her a majority of her life.  Then 3 years ago 5 days after her death anniversary I lost my boyfriend at the age of 32 in a car accident.  I dread the holidays.,Restatement or Paraphrasing,Self-disclosure,False,0.4772629737854004,False
875,"[seeker] Yes, thank you. I decided to go back to school to finish my BA.",Restatement or Paraphrasing,Reflection of feelings,False,0.47243255376815796,False
1474,"[seeker] You are giving me something to think about that isn't related to the break up. I feel like a weight is sort of lifting off of me. I think I needed to talk and get some of my feelings on the table today. [supporter] If you are still interested in getting a bike, I'd say go for it too! Biking is a great stress relief and form of exercise that often makes me feel better.",Restatement or Paraphrasing,Providing Suggestions,False,0.27848535776138306,False
1402,"[seeker] Well, my boyfriend has cheated so many times that I cant count them. I then meet someone nice and cheat on him once and now he breaks up with me.",Restatement or Paraphrasing,Restatement or Paraphrasing,True,0.5279800295829773,False
558,[seeker] Mostly online.,Restatement or Paraphrasing,Self-disclosure,False,0.4175558388233185,False
235,"[seeker] Okay, thanks for the suggestions. [supporter] I have purchased a lot of stuff from walmart and resold it on EBAY",Restatement or Paraphrasing,Providing Suggestions,False,0.27471986413002014,False
1051,[seeker] I've been struggling with depression for a while. It's hard to deal with. I feel hopeless.,Restatement or Paraphrasing,Self-disclosure,False,0.4161308705806732,False
381,[seeker] I'm feeling kind of down lately. I feel like most of my friends have been avoiding me.,Restatement or Paraphrasing,Restatement or Paraphrasing,True,0.4928118586540222,False
1535,[seeker] Unfortunately making amends in some ways depends on having money which requires a job.,Information,Self-disclosure,False,0.2387944459915161,False
1447,"[seeker] I have. I address it every time it comes up. She always sells herself short. Recently I suggested she could babysit my kids, she agreed, then almost immediately said it was ok if I had someone better in mind, and didn't want her, even though I had asked her! [seeker] do you talk to your friend about it?",Information,Providing Suggestions,False,0.3845856785774231,False
214,[seeker] I had misunderstanding with my friend and I have fear that I am gonna loose her,Information,Restatement or Paraphrasing,False,0.45282092690467834,False
1620,[seeker] Yeah before covid I got two calls but during the Covid period not even one. [seeker] Yeah I hope so.,Information,Others,False,0.2636408805847168,False
659,[seeker] Me and my manager. She feels that we are targeting her.,Information,Reflection of feelings,False,0.28313958644866943,False
754,[seeker] i feel better to know that,Information,Others,False,0.3697662651538849,False
271,[seeker] no its all on me,Information,Information,True,0.22365890443325043,False
1633,[seeker] I'm still struggling to get new job that's why I'm sad,Information,Restatement or Paraphrasing,False,0.4571811258792877,False
736,[seeker] I'll try! Thank you so much for the advice!,Information,Others,False,0.5773460268974304,False
